"Nyheter","Tillit","Rettferdige","Pavirkning","Tillit_Storting","Tillit_Dom","Tillit_Politi","Tillit_Politikere","Stemme","Alder","Kjonn","Inntekt","Utdanning"
90,8,8,4,10,10,10,5,2,48,2,10,13
60,5,5,2,3,3,5,1,NA,58,1,NA,6
60,1,3,2,1,1,0,0,7,47,1,9,10
15,8,8,4,10,8,9,8,7,64,1,3,3
60,7,6,3,7,7,7,5,NA,63,1,3,10
120,6,8,4,8,8,7,7,NA,75,2,4,10
45,7,8,3,7,9,9,6,7,39,1,6,6
60,10,4,1,0,3,3,0,8,28,1,10,9
90,9,9,4,10,10,10,7,3,69,1,3,3
30,6,5,3,7,8,9,7,NA,18,2,NA,3
90,9,9,3,8,7,10,7,7,79,2,4,5
120,5,8,3,5,7,7,4,3,62,2,1,12
120,9,9,4,6,10,9,8,6,52,2,4,12
60,8,7,3,10,10,9,8,7,71,2,8,10
240,8,8,4,7,7,7,6,4,44,1,2,9
60,7,8,4,8,8,8,5,7,46,1,9,13
80,7,8,4,8,9,8,6,7,71,1,5,6
30,9,9,4,8,6,6,5,NA,48,2,6,9
60,4,7,3,7,7,6,5,NA,16,2,NA,3
120,9,9,3,6,8,9,7,2,64,1,7,11
0,3,5,NA,6,2,0,6,7,43,1,10,6
120,9,9,3,7,8,9,7,4,51,2,3,10
40,8,7,3,7,8,8,6,3,60,1,5,10
120,8,7,3,7,8,9,6,7,50,1,4,13
30,5,7,1,2,2,1,1,6,44,1,2,3
480,7,8,3,8,9,9,7,3,23,2,4,11
150,7,7,4,6,7,7,5,1,NA,1,5,11
60,8,7,4,9,10,9,7,7,67,1,6,11
30,1,5,1,8,7,6,3,8,35,1,5,5
40,6,7,3,5,8,10,5,3,19,1,7,6
5,5,8,4,NA,9,6,6,NA,16,2,NA,2
30,10,10,4,7,9,9,6,NA,17,2,NA,3
60,8,9,2,10,10,8,6,3,60,1,7,6
5,8,6,2,7,9,9,7,7,25,1,6,8
60,8,9,4,9,9,10,9,6,22,2,NA,5
60,7,7,4,8,7,8,6,2,40,2,5,12
60,9,9,4,9,8,7,8,2,36,1,6,13
120,8,8,3,8,8,8,6,3,75,1,7,13
15,6,7,4,4,7,8,4,7,39,2,6,14
360,5,4,2,5,5,8,5,3,54,1,6,6
150,7,7,3,9,9,9,7,2,63,2,4,11
60,5,7,2,7,8,8,5,NA,52,1,9,9
10,5,5,3,7,7,7,6,NA,15,2,4,3
15,7,8,3,8,10,10,6,NA,47,2,8,10
30,8,8,2,5,7,7,5,NA,35,1,8,6
60,8,8,3,6,7,8,4,NA,80,2,4,9
60,7,7,3,6,7,5,5,6,53,2,6,6
