"polintr","actrolga","prtvtcgb","lrscale","stflife","stfdem","stfhlth","euftf","imbgeco","imueclt","inprdsc","atchctr","dscrrce","dscrsex","eisced","cntry"
2,3,NA,5,9,8,7,8,8,8,5,8,0,0,6,"DE"
2,4,NA,5,4,5,2,5,5,7,2,8,0,0,3,"DE"
2,2,NA,8,9,9,9,4,7,6,4,10,0,0,3,"DE"
3,2,NA,6,7,4,6,4,3,4,5,6,0,0,2,"DE"
4,1,NA,NA,10,7,8,NA,2,2,3,9,0,0,NA,"DE"
2,1,NA,5,9,4,7,5,7,6,1,4,0,0,3,"DE"
2,1,NA,5,9,2,6,4,4,3,4,6,0,0,3,"DE"
1,4,NA,0,8,7,2,8,7,7,4,10,0,0,3,"DE"
3,1,NA,5,8,3,5,2,5,5,2,6,0,0,3,"DE"
2,3,NA,7,4,2,7,5,6,3,4,10,0,0,5,"DE"
2,4,NA,5,3,4,7,10,7,10,4,3,0,0,5,"DE"
